-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2018 through 12/31/2025 in LST
Location: latitude  32.6676   longitude -115.4266 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 156.89 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS2M
2018,1,1,3.2458,14.83,17.95,1.51
2018,1,2,3.4898,18.34,15.58,1.8
2018,1,3,1.6423,16.83,19.6,1.2
2018,1,4,3.6653,18.66,20.54,1.55
2018,1,5,3.349,19.91,38.13,1.46
2018,1,6,2.5068,19.88,33.05,1.32
2018,1,7,3.1126,20.05,41.41,1.81
2018,1,8,1.6966,19.1,36.47,0.99
2018,1,9,1.9399,15.89,62.64,3.07
2018,1,10,3.3259,15.5,65.3,2.81
2018,1,11,3.7687,15.88,55.36,1.7
2018,1,12,3.7538,16.43,38.99,1.59
2018,1,13,3.6967,16.75,34.57,1.73
2018,1,14,3.5666,16.46,28.37,1.57
2018,1,15,3.7325,18.25,23.74,1.4
2018,1,16,3.522,18.96,26.91,1.24
2018,1,17,3.9002,17.48,29.61,1.42
2018,1,18,3.5952,18.39,26.53,1.07
2018,1,19,3.7718,17.98,42.5,1.49
2018,1,20,3.7274,12.57,52.62,4.25
2018,1,21,4.0709,11.28,36.1,1.8
2018,1,22,4.0901,11.25,25.11,1.79
2018,1,23,4.2058,13.1,24.67,1.92
2018,1,24,4.188,14.39,21.85,1.46
2018,1,25,3.9708,14.6,40.72,3.03
2018,1,26,4.3183,12.31,44.82,2.27
2018,1,27,4.2686,13.1,23.26,1.9
2018,1,28,4.3951,16.05,21.96,2.37
2018,1,29,4.5583,17.81,23.2,2.06
2018,1,30,3.6017,18.73,19.98,1.36
2018,1,31,4.5708,19.06,18.47,1.48
2018,2,1,4.5113,19.56,16.15,1.41
2018,2,2,4.2389,19.78,17.97,1.11
2018,2,3,4.4054,20.98,19.2,1.6
2018,2,4,4.614,21.62,20.92,1.53
2018,2,5,4.5379,21.01,20.3,1.42
2018,2,6,4.6572,20.5,20.48,2.2
2018,2,7,4.8593,17.73,20.24,1.64
2018,2,8,4.8758,19.49,18.54,1.5
2018,2,9,4.9853,21.39,18.03,1.72
2018,2,10,4.0709,20.26,33.01,3.39
2018,2,11,4.8427,16.35,25.99,2.55
2018,2,12,3.8976,15.52,54.17,1.74
2018,2,13,3.9682,14.7,52.47,1.38
2018,2,14,2.9086,16.39,57.35,1.54
2018,2,15,3.3684,14.68,70.64,1.17
2018,2,16,3.9758,15.61,30.66,2.23
2018,2,17,4.9032,15.85,18.85,1.25
2018,2,18,4.9742,17.36,39.94,3.32
2018,2,19,5.1581,12.3,48.54,5.09
2018,2,20,5.4396,8.9,29.32,1.92
2018,2,21,4.3718,9.56,43.77,1.8
2018,2,22,4.9886,11.32,50.81,2.26
2018,2,23,4.9584,10.2,50.03,3.64
2018,2,24,5.706,9.25,23.48,1.87
2018,2,25,5.6182,11.04,24.59,2.34
2018,2,26,5.5553,13.18,26.65,1.31
2018,2,27,3.4829,10.12,58.71,2.4
2018,2,28,5.6693,11.32,48.6,2.1
2018,3,1,5.7857,12.76,44.95,1.55
2018,3,2,5.8961,15.14,43.49,1.9
2018,3,3,5.0143,14.86,59.69,2.58
2018,3,4,5.8478,12.64,42.44,2.37
2018,3,5,6.023,12.95,20.15,2.28
2018,3,6,5.9014,16.82,12.84,1.73
2018,3,7,4.8257,18.22,10.8,1.4
2018,3,8,5.1907,19.58,21.34,1.68
2018,3,9,5.2176,22.02,36.11,2.42
2018,3,10,2.0813,18.97,56.15,2.14
2018,3,11,5.291,19.56,58.81,1.39
2018,3,12,5.1799,20.66,50.13,1.48
2018,3,13,3.8222,22.71,41.96,1.66
2018,3,14,5.8231,18.31,54.49,3.82
2018,3,15,6.0823,15.4,52.27,3.47
2018,3,16,5.5882,14.65,44.29,2.72
2018,3,17,5.2214,14.83,53.94,2.63
2018,3,18,5.8817,13.65,42.15,1.97
2018,3,19,6.3509,16.76,22.83,1.59
2018,3,20,6.353,19.36,14.26,1.57
2018,3,21,5.0609,22.65,26.66,1.42
2018,3,22,2.4504,22.18,37.21,2.08
2018,3,23,6.7109,19.86,47.97,2.13
2018,3,24,6.2124,17.35,43.42,4.02
2018,3,25,6.181,15.3,45.83,4.52
2018,3,26,6.3823,14.58,42.98,3.11
2018,3,27,7.1419,16.87,20.24,3.62
2018,3,28,7.1465,20.45,17.05,1.69
2018,3,29,7.0548,24.21,20.03,1.86
2018,3,30,7.1179,25.43,18.11,1.76
2018,3,31,6.216,26.26,17.55,1.91
2018,4,1,6.5998,24.7,17.61,2.47
2018,4,2,7.0188,23.04,28.32,3.3
2018,4,3,7.0452,22.37,39.25,2.53
2018,4,4,6.7229,24.5,30.85,2.22
2018,4,5,7.2096,25.3,19.66,2.75
2018,4,6,6.4702,25.46,30.9,5.43
2018,4,7,7.0205,26.45,46.01,5.13
2018,4,8,7.5334,24.27,22.1,2.69
2018,4,9,7.567,26.23,12.86,2.15
2018,4,10,7.4438,28.22,11.5,1.65
2018,4,11,7.4023,27.56,18.42,3.22
2018,4,12,7.5089,19.06,32.81,6.29
2018,4,13,7.9582,19.38,18.13,2.87
2018,4,14,7.8466,21.86,9.88,1.74
2018,4,15,6.9211,23.94,9.75,1.72
2018,4,16,5.3928,20.08,30.44,3.45
2018,4,17,7.8991,15.99,30.5,2.55
2018,4,18,7.9272,20.11,17.88,2.02
2018,4,19,7.2648,15.7,44.0,5.26
2018,4,20,7.8113,19.92,28.87,2.66
2018,4,21,6.7416,24.61,20.35,1.45
2018,4,22,7.7582,27.74,14.49,1.62
2018,4,23,7.5989,27.59,16.69,2.18
2018,4,24,7.4297,28.0,15.55,2.15
2018,4,25,7.7878,27.97,14.63,2.64
2018,4,26,7.0224,26.69,19.93,2.92
2018,4,27,8.1468,26.37,20.51,3.14
2018,4,28,7.8912,23.74,23.2,4.27
2018,4,29,7.769,21.42,34.88,4.9
2018,4,30,7.019,19.28,44.66,4.62
2018,5,1,6.5222,17.32,44.15,4.24
2018,5,2,6.6432,17.77,47.3,3.13
2018,5,3,7.9596,21.46,37.45,2.15
2018,5,4,8.0738,26.36,19.98,2.21
2018,5,5,8.3388,29.63,13.45,1.69
2018,5,6,8.011,31.25,12.37,2.2
2018,5,7,8.227,30.13,10.28,2.27
2018,5,8,7.9066,30.37,9.45,2.35
2018,5,9,8.3758,29.98,17.67,2.37
2018,5,10,8.3412,31.77,19.57,2.58
2018,5,11,8.0414,25.75,26.38,3.95
2018,5,12,8.1768,22.13,36.9,2.95
2018,5,13,8.3981,22.62,34.36,2.56
2018,5,14,8.3436,23.63,36.71,3.09
2018,5,15,8.4569,25.03,28.28,2.97
2018,5,16,8.49,25.96,28.54,3.75
2018,5,17,8.521,23.7,30.24,5.09
2018,5,18,8.3698,23.36,36.34,4.2
2018,5,19,8.3119,25.48,32.83,2.84
2018,5,20,8.2159,25.96,35.26,2.92
2018,5,21,8.2063,24.0,33.44,3.95
2018,5,22,8.4235,23.05,32.93,2.5
2018,5,23,8.3638,25.04,32.9,2.29
2018,5,24,8.5049,25.67,33.02,2.85
2018,5,25,8.5262,23.15,35.95,4.85
2018,5,26,8.3969,21.63,43.43,5.54
2018,5,27,8.3846,24.47,36.47,3.04
2018,5,28,8.4149,28.55,26.56,2.5
2018,5,29,8.4197,30.24,25.52,2.81
2018,5,30,8.495,28.74,29.63,2.86
2018,5,31,8.5615,27.19,30.58,3.37
2018,6,1,8.7622,27.48,20.45,2.5
2018,6,2,8.5402,31.1,12.48,2.38
2018,6,3,8.8186,32.63,14.26,2.46
2018,6,4,8.7595,32.71,15.84,2.72
2018,6,5,8.479,30.84,21.76,2.34
2018,6,6,8.4878,30.4,20.02,2.48
2018,6,7,8.8123,29.3,18.85,2.98
2018,6,8,8.7646,31.32,14.24,2.5
2018,6,9,8.8654,32.27,14.98,2.89
2018,6,10,8.8176,31.27,15.84,2.32
2018,6,11,8.9294,32.43,14.27,2.39
2018,6,12,8.6767,33.38,16.68,2.31
2018,6,13,8.1377,34.94,10.81,2.4
2018,6,14,7.0195,35.17,15.96,2.52
2018,6,15,4.0286,32.35,24.78,2.18
2018,6,16,6.7942,29.03,26.58,2.49
2018,6,17,8.7067,26.09,34.48,3.24
2018,6,18,8.7146,26.35,33.65,3.08
2018,6,19,8.6933,29.86,24.43,2.38
2018,6,20,8.887,32.34,18.71,2.58
2018,6,21,8.707,33.94,18.25,2.53
2018,6,22,8.8462,35.54,14.76,2.72
2018,6,23,8.8286,34.36,14.0,2.45
2018,6,24,8.699,31.6,18.55,2.27
2018,6,25,8.9146,32.8,16.51,2.4
2018,6,26,9.0708,34.32,10.83,2.34
2018,6,27,8.7586,34.44,9.89,2.45
2018,6,28,8.7245,33.16,12.24,2.84
2018,6,29,8.7857,30.88,16.78,2.57
2018,6,30,8.609,29.56,22.31,2.75
2018,7,1,8.6734,31.9,15.74,2.31
2018,7,2,8.7962,32.97,14.4,2.62
2018,7,3,8.8522,32.41,17.26,2.72
2018,7,4,8.6693,32.69,17.8,2.35
2018,7,5,8.6294,35.54,12.33,2.35
2018,7,6,6.8978,39.13,15.95,2.38
2018,7,7,7.7611,39.26,22.89,2.12
2018,7,8,6.5122,38.54,16.89,1.97
2018,7,9,6.5791,35.65,26.4,2.49
2018,7,10,4.9154,32.26,43.5,1.48
2018,7,11,6.995,34.0,36.59,2.07
2018,7,12,7.3668,34.74,36.87,1.68
2018,7,13,7.9094,36.36,27.33,2.27
2018,7,14,7.8634,37.01,27.95,2.61
2018,7,15,6.6715,32.26,35.72,2.82
2018,7,16,6.9914,33.34,32.89,1.93
2018,7,17,6.5834,32.92,39.94,1.82
2018,7,18,5.7156,32.6,47.64,2.17
2018,7,19,7.8984,34.17,38.03,2.58
2018,7,20,7.9068,35.63,31.68,2.68
2018,7,21,7.1018,34.46,33.73,2.5
2018,7,22,7.601,36.37,29.57,3.01
2018,7,23,8.0954,39.11,17.3,2.82
2018,7,24,7.8862,41.05,15.84,2.92
2018,7,25,7.3927,40.31,15.82,2.52
2018,7,26,6.9562,39.86,15.92,1.87
2018,7,27,7.559,38.92,19.44,1.98
2018,7,28,7.5103,35.79,34.89,3.25
2018,7,29,5.4658,35.54,36.17,2.08
2018,7,30,7.4162,37.4,28.43,2.15
2018,7,31,6.8057,34.97,32.7,1.74
2018,8,1,6.1644,37.47,26.76,2.66
2018,8,2,7.0862,37.24,26.07,3.29
2018,8,3,7.8372,37.61,20.79,2.37
2018,8,4,7.8156,38.42,20.5,2.35
2018,8,5,7.8446,38.27,15.95,2.43
2018,8,6,7.9697,38.84,13.0,2.38
2018,8,7,7.6459,38.87,16.09,2.79
2018,8,8,7.0589,36.06,25.46,1.83
2018,8,9,5.771,35.34,33.13,2.58
2018,8,10,6.2654,35.37,33.38,2.01
2018,8,11,6.679,34.01,34.39,2.96
2018,8,12,6.7817,34.7,31.99,3.3
2018,8,13,6.5393,34.03,33.36,2.9
2018,8,14,7.243,34.52,30.58,2.72
2018,8,15,6.7894,33.92,34.21,2.74
2018,8,16,6.9514,33.1,40.84,2.65
2018,8,17,7.1954,34.07,40.47,1.68
2018,8,18,7.1294,35.71,35.71,3.41
2018,8,19,7.315,36.85,29.61,2.82
2018,8,20,6.7186,36.12,26.13,3.12
2018,8,21,6.5155,35.36,24.7,2.93
2018,8,22,7.2214,34.46,22.96,2.06
2018,8,23,7.1222,34.42,26.06,2.12
2018,8,24,7.0102,34.23,26.81,2.02
2018,8,25,7.2535,33.97,28.3,2.09
2018,8,26,7.3632,33.16,22.07,2.52
2018,8,27,7.3411,32.97,15.12,2.29
2018,8,28,7.3013,32.67,19.31,2.5
2018,8,29,7.2622,33.33,15.57,2.04
2018,8,30,7.277,33.8,16.63,2.04
2018,8,31,7.3025,33.85,14.3,2.08
2018,9,1,7.2338,31.62,20.58,2.48
2018,9,2,7.1249,30.25,31.36,2.53
2018,9,3,6.7442,30.27,36.05,2.51
2018,9,4,7.098,30.36,30.24,2.3
2018,9,5,7.1486,31.6,27.77,2.32
2018,9,6,6.9178,33.35,25.92,2.34
2018,9,7,6.8981,35.34,20.96,2.03
2018,9,8,6.8969,36.97,15.14,1.8
2018,9,9,6.8861,36.34,13.9,1.36
2018,9,10,7.1023,34.26,11.76,2.46
2018,9,11,6.9842,32.84,11.61,3.02
2018,9,12,6.9782,32.36,12.93,3.17
2018,9,13,6.978,32.75,10.59,2.28
2018,9,14,6.8832,33.53,11.2,2.33
2018,9,15,6.6389,34.66,16.07,2.57
2018,9,16,6.4826,33.61,18.47,2.18
2018,9,17,6.5258,34.14,17.57,2.81
2018,9,18,6.4531,33.09,16.99,2.61
2018,9,19,5.8284,31.7,20.77,2.31
2018,9,20,5.7953,30.98,48.28,1.45
2018,9,21,6.0778,33.0,28.24,1.97
2018,9,22,5.867,34.19,25.49,1.82
2018,9,23,5.9381,33.18,22.72,2.13
2018,9,24,6.2215,31.07,24.31,2.34
2018,9,25,6.0818,29.44,30.2,2.22
2018,9,26,6.1217,31.22,24.24,1.63
2018,9,27,6.1795,33.4,21.74,1.69
2018,9,28,6.0787,33.29,19.01,2.04
2018,9,29,5.9234,31.55,30.19,3.52
2018,9,30,3.4339,29.32,40.36,1.41
2018,10,1,1.9838,26.85,64.62,2.26
2018,10,2,4.979,27.13,60.14,2.35
2018,10,3,5.3618,26.27,46.03,2.44
2018,10,4,5.7451,24.75,48.53,1.83
2018,10,5,5.773,23.68,46.96,2.91
2018,10,6,4.8389,25.01,44.58,3.45
2018,10,7,5.0834,22.19,43.84,3.05
2018,10,8,5.634,22.19,41.76,2.42
2018,10,9,5.6945,22.76,36.58,2.3
2018,10,10,5.5759,22.29,40.84,2.17
2018,10,11,5.1024,22.57,47.76,1.74
2018,10,12,4.3649,23.26,56.68,1.55
2018,10,13,4.6675,22.69,55.84,2.76
2018,10,14,5.3438,21.78,53.04,2.39
2018,10,15,5.5488,18.1,22.64,4.44
2018,10,16,5.6069,18.73,22.28,2.69
2018,10,17,5.3184,18.74,41.11,2.19
2018,10,18,5.3098,21.05,36.14,1.95
2018,10,19,5.16,21.91,32.04,2.11
2018,10,20,5.0964,23.6,30.57,1.52
2018,10,21,4.9769,25.15,28.04,1.57
2018,10,22,4.7791,24.47,30.97,1.59
2018,10,23,4.8326,25.19,37.28,1.74
2018,10,24,4.8324,24.84,34.68,1.54
2018,10,25,4.8967,25.1,25.87,1.76
2018,10,26,4.9063,25.92,21.9,1.82
2018,10,27,4.9426,25.42,22.63,1.42
2018,10,28,3.9425,25.78,21.43,1.31
2018,10,29,3.8434,24.8,21.73,1.36
2018,10,30,4.7081,22.5,31.8,2.24
2018,10,31,4.9462,19.39,22.97,2.86
2018,11,1,4.6373,20.98,16.65,2.0
2018,11,2,4.7419,22.63,24.05,2.0
2018,11,3,4.6351,24.78,20.66,1.75
2018,11,4,3.6852,24.11,18.34,1.67
2018,11,5,4.4314,23.9,18.93,1.72
2018,11,6,4.3541,22.99,34.26,1.86
2018,11,7,4.3046,22.62,37.26,1.78
2018,11,8,4.188,19.82,33.28,3.3
2018,11,9,4.4645,17.21,16.43,2.6
2018,11,10,4.4645,17.8,17.69,1.65
2018,11,11,4.433,15.97,19.22,3.0
2018,11,12,4.5768,13.8,18.18,2.83
2018,11,13,4.355,13.24,18.63,1.96
2018,11,14,3.7126,14.26,18.46,1.82
2018,11,15,4.1107,16.38,16.99,1.44
2018,11,16,4.1734,18.53,13.34,1.14
2018,11,17,3.9389,17.77,16.83,1.47
2018,11,18,3.8657,17.88,28.33,1.38
2018,11,19,3.1531,15.82,25.64,1.1
2018,11,20,3.8237,17.56,23.24,1.47
2018,11,21,3.4505,16.95,43.74,1.64
2018,11,22,2.4343,17.12,58.02,2.7
2018,11,23,3.6348,16.92,55.28,2.17
2018,11,24,3.689,17.93,59.21,2.62
2018,11,25,3.6797,17.01,43.53,1.97
2018,11,26,3.929,16.03,17.46,2.06
2018,11,27,3.8378,17.43,16.08,1.36
2018,11,28,3.7798,18.28,34.93,1.09
2018,11,29,2.8531,15.88,66.05,3.3
2018,11,30,3.5131,15.52,60.51,4.36
2018,12,1,3.3588,13.96,58.84,2.2
2018,12,2,3.6506,13.28,48.5,2.14
2018,12,3,3.7486,11.74,32.84,1.52
2018,12,4,2.5706,10.71,30.39,1.1
2018,12,5,3.5266,12.57,36.45,1.39
2018,12,6,1.3699,11.45,87.23,1.93
2018,12,7,2.6011,13.0,81.16,1.51
2018,12,8,3.6048,14.16,64.61,1.39
2018,12,9,3.5016,14.79,58.94,1.3
2018,12,10,2.1096,13.45,53.0,1.22
2018,12,11,2.6954,13.78,47.2,1.64
2018,12,12,3.4963,14.97,45.26,2.18
2018,12,13,3.7277,13.26,32.88,1.57
2018,12,14,2.1338,12.85,32.45,1.02
2018,12,15,3.3828,13.68,33.01,1.52
2018,12,16,3.5582,14.0,33.09,1.37
2018,12,17,2.623,15.26,55.01,1.97
2018,12,18,3.3785,15.06,66.04,1.92
2018,12,19,3.583,16.26,47.61,1.36
2018,12,20,3.5074,16.11,38.21,1.3
2018,12,21,1.7582,14.15,42.59,1.17
2018,12,22,3.384,15.73,36.84,1.33
2018,12,23,3.1697,15.02,41.05,1.49
2018,12,24,3.4505,14.72,44.34,1.58
2018,12,25,2.5282,12.75,69.54,3.16
2018,12,26,3.5791,12.95,52.37,3.06
2018,12,27,3.3326,11.46,60.69,2.15
2018,12,28,3.7423,8.06,40.57,2.52
2018,12,29,3.7944,6.74,38.09,2.51
2018,12,30,3.6041,9.71,41.28,1.6
2018,12,31,1.3766,10.3,69.94,1.79
2019,1,1,3.779,5.27,45.21,2.59
2019,1,2,3.8923,5.89,31.43,2.65
2019,1,3,3.7805,6.78,32.65,1.76
2019,1,4,3.858,8.84,33.56,1.17
2019,1,5,0.9175,9.95,54.86,0.46
2019,1,6,3.1843,11.63,67.44,1.39
2019,1,7,3.036,11.0,61.53,1.4
2019,1,8,3.6286,12.34,65.8,1.06
2019,1,9,3.7154,14.04,54.8,1.44
2019,1,10,3.6778,14.43,60.66,2.07
2019,1,11,2.9928,13.44,59.34,1.36
2019,1,12,2.6386,11.72,76.76,1.17
2019,1,13,3.2311,11.67,68.29,1.21
2019,1,14,1.585,12.62,72.49,2.0
2019,1,15,1.6788,13.24,76.09,1.04
2019,1,16,3.1958,13.78,73.4,1.45
2019,1,17,2.7835,16.02,68.51,1.79
2019,1,18,3.3703,15.41,64.08,2.55
2019,1,19,3.9734,14.85,41.02,1.67
